channel combo,delays,rank,event recall,event precision,event accuracy,event F1,mean linear R²,Chamfer distance (s),median |gap| (s)
x+y+z,150,5,0.7143,0.4878,0.8924,0.5797,0.745,0.1488,0.0005
x+y,150,5,0.6429,0.3273,0.8794,0.4337,0.9988,0.2095,0.0605
x,150,5,0.6429,0.3214,0.8792,0.4286,0.9995,0.1937,0.0625
y+z,150,11,0.6786,0.2754,0.881,0.3918,0.9403,0.2083,0.0535
x+z,150,11,0.6429,0.2535,0.8801,0.3636,0.9382,0.2352,0.048
z,150,7,0.6429,0.2278,0.8875,0.3364,0.9996,0.2253,0.028
y,150,7,0.6071,0.2099,0.8798,0.3119,0.9996,0.2842,0.0725
